Method,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Irrig,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_end
DSR,1989,120,1989-06-15,mad,0.06,611.699,600.664,565.266,261.044,304.221,264.971,2.352,476.607,386.527,502.486,35,11.044,33.344
DSR,1989,120,1989-07-01,mad,0.06,579.305,576.456,537.573,234.669,302.904,251.006,2.318,444.73,371.291,482.678,35,10.608,27.989
DSR,1989,120,1989-07-15,madDs,0.75,556.708,576.061,571.654,236.242,335.412,451.856,4.341,407.731,662.892,861.76,19,34.889,47.579
DSR,1989,120,1989-07-15,madDs,0.47,556.708,584.714,583.032,244.895,338.137,475.646,4.769,407.731,709.224,921.991,28,25.329,58.743
DSR,1989,120,1989-07-15,madDs,0.94,556.708,559.684,553.163,219.865,333.298,445.409,4.294,407.731,631.616,821.101,16,39.476,41.24
DSR,1989,135,1989-05-15,madDs,0.94,790.968,767.454,755.296,356.606,398.69,488.713,3.942,483.44,794.719,1033.134,21,37.844,34.911
DSR,1989,135,1989-05-15,madDs,0.75,790.968,794.664,787.686,383.817,403.87,574.451,4.558,483.44,937.957,1219.344,28,33.498,60.022
DSR,1989,135,1989-05-15,madDs,0.47,790.968,832.232,827.358,421.384,405.974,592.134,4.532,483.44,990.677,1287.88,39,25.402,55.387
DSR,1989,120,1989-07-15,mad,0.06,556.708,572.42,533.745,232.601,301.145,277.173,2.755,407.731,435.687,566.393,41,10.627,32.965
DSR,1989,135,1989-05-15,mad,0.06,790.968,813.847,757.687,402.999,354.687,262.65,2.042,483.44,567.808,738.15,41,13.849,31.674
DSR,1989,135,1989-06-01,madDs,0.94,724.38,709.663,699.89,323.327,376.562,533.314,4.393,489.67,785.92,1021.696,21,37.425,43.029
DSR,1989,135,1989-06-01,madDs,0.75,724.38,745.628,739.376,359.292,380.084,537.281,4.175,489.67,839.24,1091.013,25,33.57,52.896
DSR,1989,135,1989-06-01,madDs,0.47,724.38,757.088,753.199,370.752,382.447,588.175,4.567,489.67,907.465,1179.705,35,25.928,56.404
DSR,1989,135,1989-06-15,madDs,0.75,685.555,710.855,706.043,323.261,382.782,500.48,4.18,476.607,773.232,1005.201,24,32.218,43.762
DSR,1989,135,1989-06-15,madDs,0.47,685.555,726.696,724.248,339.102,385.146,569.441,4.857,476.607,879.151,1142.897,35,25.119,62.517
DSR,1989,135,1989-06-15,madDs,0.94,685.555,695.464,688.607,307.87,380.737,462.482,4.033,476.607,717.848,933.203,19,37.781,43.813
DSR,1989,135,1989-06-01,mad,0.06,724.38,720.364,677.891,334.028,343.863,263.725,2.076,489.67,485.381,630.995,41,11.839,34.078
DSR,1989,135,1989-06-15,mad,0.06,685.555,676.531,634.796,288.937,345.859,265.122,1.97,476.607,453.679,589.782,42,10.802,30.815
DSR,1989,135,1989-07-01,madDs,0.75,642.564,677.888,673.15,296.384,376.766,500.518,4.289,444.865,796.104,1034.936,24,33.171,67.848
DSR,1989,135,1989-07-01,madDs,0.47,642.564,680.916,678.956,299.412,379.544,513.194,4.557,444.865,802.337,1043.038,34,23.598,55.599
DSR,1989,135,1989-07-01,madDs,0.94,642.564,654.002,646.664,272.499,374.165,482.156,4.184,444.865,722.201,938.862,19,38.011,38.793
DSR,1989,135,1989-07-15,madDs,0.75,607.941,643.367,640.441,271.456,368.984,497.581,4.421,410.097,803.327,1044.325,24,33.472,75.956
DSR,1989,135,1989-07-15,madDs,0.94,607.941,622.17,616.199,250.259,365.939,455.588,3.975,410.097,706.786,918.822,18,39.266,45.562
