ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
33,Rice,1989,120,1989-05-11,madDs,0.75,741.631,773.186,763.253,391.989,371.264,428.316,3.543,483.44,0.0,787.812,0.0,1024.155,26,30.3,0.0,80.758,0.288
33,Wheat,1989,125,1989-09-18,mad,0.5,455.358,352.673,351.717,63.566,288.151,0.0,0.001,19.089,0.0,322.448,0.0,419.182,6,53.741,0.0,40.837,0.188
36,Rice,1992,120,1992-05-11,madDs,0.75,739.781,777.977,770.699,416.987,353.712,201.042,1.664,255.841,0.0,825.201,0.0,1072.762,28,29.471,0.0,112.006,0.341
36,Wheat,1992,125,1992-09-18,mad,0.5,446.87,360.755,360.408,66.012,294.396,0.0,0.0,33.362,0.0,315.882,0.0,410.647,6,52.647,3.324,43.069,0.19
39,Rice,1995,120,1995-05-11,madDs,0.75,779.256,831.578,819.899,467.68,352.219,641.473,5.303,771.277,0.0,830.893,0.0,1080.161,28,29.675,0.0,173.605,0.443
39,Wheat,1995,125,1995-09-18,mad,0.5,470.768,338.812,338.812,18.777,320.035,0.0,0.0,56.392,0.0,281.953,0.0,366.539,4,70.488,13.524,62.883,0.206
38,Rice,1994,120,1994-05-11,madDs,0.75,711.884,746.218,738.764,410.131,328.633,592.626,4.9,747.112,0.0,685.049,0.0,890.563,24,28.544,0.0,102.312,0.324
38,Wheat,1994,125,1994-09-18,mad,0.5,449.7,359.101,358.404,63.085,295.319,2.12,0.001,59.455,0.0,317.55,0.0,412.815,6,52.925,1.624,68.894,0.211
37,Rice,1993,120,1993-05-11,madDs,0.75,770.42,807.724,797.097,409.536,387.561,372.817,3.084,440.413,0.0,826.057,0.0,1073.873,27,30.595,0.0,97.927,0.317
37,Wheat,1993,125,1993-09-18,mad,0.5,460.944,368.529,367.756,45.537,322.218,17.599,0.001,29.177,0.0,372.48,0.0,484.224,6,62.08,0.924,68.793,0.211
42,Rice,1998,120,1998-05-11,madDs,0.75,753.122,763.203,754.597,387.634,366.963,362.874,3.018,401.38,0.0,763.626,0.0,992.714,25,30.545,0.0,48.19,0.234
42,Wheat,1998,125,1998-09-18,mad,0.5,399.738,336.312,335.323,56.818,278.505,248.468,0.765,336.028,0.0,246.294,0.0,320.182,4,61.574,0.0,48.233,0.194
43,Rice,1999,120,1999-05-11,madDs,0.75,731.111,771.684,761.077,379.969,381.108,271.481,2.247,330.468,0.0,793.182,0.0,1031.137,26,30.507,0.0,92.175,0.308
43,Wheat,1999,125,1999-09-18,mad,0.5,470.833,389.562,388.736,62.044,326.692,15.726,0.001,26.483,0.0,393.353,0.0,511.36,7,56.193,0.024,65.636,0.209
41,Rice,1997,120,1997-05-11,madDs,0.75,693.954,723.548,716.914,371.979,344.936,369.1,3.053,524.119,0.0,657.881,0.0,855.245,22,29.904,0.0,97.357,0.316
41,Wheat,1997,125,1997-09-18,mad,0.5,365.801,303.618,302.768,83.676,219.093,56.968,0.001,205.515,0.0,118.301,0.0,153.792,3,39.434,0.824,15.09,0.166
44,Rice,2000,120,2000-05-11,madDs,0.75,709.022,749.213,742.301,383.881,358.42,247.723,2.1,346.998,0.0,749.274,0.0,974.057,26,28.818,0.0,108.254,0.334
44,Wheat,2000,125,2000-09-18,mad,0.5,466.426,377.994,377.466,59.508,317.957,0.0,0.0,15.26,0.0,315.516,0.0,410.171,6,52.586,2.624,6.616,0.159
47,Rice,2003,120,2003-05-11,madDs,0.75,700.503,729.677,723.181,391.599,331.581,487.352,4.031,635.25,0.0,668.138,0.0,868.58,23,29.049,0.0,93.976,0.311
47,Wheat,2003,125,2003-09-18,mad,0.5,424.239,320.38,319.568,42.094,277.474,8.608,0.0,55.155,0.0,295.149,0.0,383.694,5,59.03,0.324,72.771,0.215
45,Rice,2001,120,2001-05-11,madDs,0.75,673.113,694.732,686.96,335.048,351.912,324.809,2.884,467.166,0.0,585.156,0.0,760.702,21,27.865,0.0,41.456,0.223
45,Wheat,2001,125,2001-09-18,mad,0.5,452.41,360.48,359.252,62.129,297.124,0.0,0.0,13.812,0.0,319.015,0.0,414.72,6,53.169,0.0,24.595,0.174
46,Rice,2002,120,2002-05-11,madDs,0.75,786.107,828.527,815.171,408.035,407.136,153.049,1.324,153.003,0.0,885.965,0.0,1151.755,28,31.642,0.0,71.715,0.273
46,Wheat,2002,125,2002-09-18,mad,0.5,428.657,341.211,340.333,54.866,285.466,0.0,0.0,0.0,0.0,324.727,0.0,422.145,6,54.121,0.0,35.399,0.183
48,Rice,2004,120,2004-05-11,madDs,0.75,756.341,759.796,751.372,369.859,381.513,365.259,3.121,398.233,0.0,776.17,0.0,1009.021,25,31.047,0.0,58.781,0.252
48,Wheat,2004,125,2004-09-18,mad,0.5,437.396,374.098,373.173,82.388,290.785,0.0,0.0,44.35,0.0,334.473,0.0,434.815,6,55.745,0.0,55.58,0.2
50,Rice,2006,120,2006-05-11,madDs,0.75,714.321,766.249,758.686,387.924,370.762,181.026,1.497,303.75,0.0,725.378,0.0,942.992,25,29.015,0.0,90.529,0.305
50,Wheat,2006,125,2006-09-18,mad,0.5,490.177,373.402,372.155,58.665,313.49,0.0,0.0,0.0,0.0,312.553,0.0,406.319,6,52.092,0.0,0.0,0.154
52,Rice,2008,120,2008-05-11,madDs,0.75,614.637,631.844,627.492,298.876,328.616,555.232,4.804,645.206,0.0,583.025,0.0,757.932,19,30.686,0.0,46.2,0.231
52,Wheat,2008,125,2008-09-18,mad,0.5,440.156,340.363,339.979,42.381,297.599,157.122,0.509,187.676,0.0,275.856,0.0,358.613,4,68.964,0.0,18.877,0.17
49,Rice,2005,120,2005-05-11,madDs,0.75,774.828,794.863,785.164,408.853,376.311,249.131,2.064,298.127,0.0,797.308,0.0,1036.501,26,30.666,0.0,61.882,0.257
49,Wheat,2005,125,2005-09-18,mad,0.5,452.439,363.43,362.786,52.317,310.469,103.984,0.255,129.37,0.0,309.834,0.0,402.785,5,61.967,0.0,24.481,0.174
51,Rice,2007,120,2007-05-11,madDs,0.75,751.223,803.606,795.011,409.403,385.608,299.787,2.48,382.227,0.0,812.149,0.0,1055.794,27,30.08,0.0,100.946,0.322
51,Wheat,2007,125,2007-09-18,mad,0.5,482.461,385.705,385.031,63.899,321.132,0.0,0.001,9.208,0.0,376.224,0.0,489.092,7,53.746,1.424,53.469,0.198
54,Rice,2010,120,2010-05-11,madDs,0.75,714.424,745.321,735.807,398.973,336.834,558.138,4.655,575.51,0.0,786.03,0.0,1021.839,26,30.232,0.0,68.479,0.268
54,Wheat,2010,125,2010-09-18,mad,0.5,414.253,316.882,316.26,41.763,274.497,41.483,0.255,86.692,0.0,274.853,0.0,357.309,4,68.713,0.0,54.331,0.199
53,Rice,2009,120,2009-05-11,madDs,0.75,792.249,821.262,811.598,414.595,397.003,169.615,1.405,120.548,0.0,938.333,0.0,1219.833,30,31.278,0.0,78.552,0.285
53,Wheat,2009,125,2009-09-18,mad,0.5,455.908,378.706,377.57,67.655,309.915,0.0,0.0,17.773,0.0,325.858,0.0,423.616,6,54.31,0.0,17.716,0.169
55,Rice,2011,120,2011-05-11,madDs,0.75,671.31,699.035,693.133,357.179,335.954,431.566,3.699,591.757,0.0,642.15,0.0,834.794,22,29.189,0.0,142.143,0.391
55,Wheat,2011,125,2011-09-18,mad,0.5,445.322,334.216,334.216,38.704,295.513,0.0,0.0,10.471,0.0,290.389,0.0,377.506,5,58.078,8.324,25.932,0.175
56,Rice,2012,120,2012-05-11,madDs,0.75,790.738,847.497,836.739,463.213,373.527,343.757,2.843,352.954,0.0,904.845,0.0,1176.299,30,30.162,0.0,78.07,0.284
56,Wheat,2012,125,2012-09-18,mad,0.5,422.954,338.239,337.831,57.032,280.799,12.742,0.003,73.363,0.0,299.199,0.0,388.959,5,59.84,0.0,73.395,0.215
