************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 18:13:17
Simulation start date: 2018-05-15
Simulation end date: 2018-09-12
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 DSR -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date    ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date   Day
2018-192  2018  192  Wed  2018-07-11    4.670 1.240 1.240 0.680 1.290 0.796 1.000 0.204  18.019 0.755 0.038  0.176  44.924 1.278  5.967  62.022 -99.999 -99.999 0.504 0.561  34.814 1.000 1.278  5.967  5.791   0.000 -99.999   8.507   0.137 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  192  Wed  2018-07-11    57
2018-193  2018  193  Thu  2018-07-12    5.660 1.250 1.250 0.703 1.300 0.801 1.000 0.199  18.019 0.000 0.000  0.000  44.924 1.250  7.075  62.678 -99.999 -99.999 0.509 0.517  32.404 1.000 1.250  7.075  7.075   0.000 -99.999  15.582   0.249 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  193  Thu  2018-07-12    58
2018-194  2018  194  Fri  2018-07-13    3.490 1.260 1.260 0.727 1.310 0.805 1.000 0.195  18.019 0.000 0.000  0.000  44.924 1.260  4.397  63.334 -99.999 -99.999 0.515 0.624  39.527 1.000 1.260  4.397  4.397   0.000 -99.999  19.979   0.315 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  194  Fri  2018-07-13    59
2018-195  2018  195  Sat  2018-07-14    4.290 1.270 1.270 0.750 1.320 0.809 1.000 0.191  18.019 0.000 0.000  0.000  44.924 1.270  5.448  63.990 -99.999 -99.999 0.520 0.582  37.247 1.000 1.270  5.448  5.448   0.000 -99.999  25.428   0.397 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  195  Sat  2018-07-14    60
2018-196  2018  196  Sun  2018-07-15    5.050 1.280 1.280 0.773 1.330 0.813 1.000 0.187  18.019 0.000 0.000  0.000  44.924 1.280  6.464  64.647 -99.999 -99.999 0.525 0.541  35.002 1.000 1.280  6.464  6.464   0.000 -99.999  14.942   0.231 -99.999 -99.999 -99.999 -99.999   0.000   0.000  16.950   0.000  2018  196  Sun  2018-07-15    61
2018-197  2018  197  Mon  2018-07-16    3.110 1.290 1.290 0.797 1.340 0.816 1.000 0.184  18.019 0.000 0.000  0.000  44.924 1.290  4.012  65.303 -99.999 -99.999 0.531 0.640  41.763 1.000 1.290  4.012  4.012   0.000 -99.999  18.954   0.290 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  197  Mon  2018-07-16    62
2018-198  2018  198  Tue  2018-07-17    3.670 1.300 1.300 0.820 1.350 0.820 1.000 0.180  18.019 0.000 0.000  0.000  44.924 1.300  4.771  65.959 -99.999 -99.999 0.536 0.609  40.180 1.000 1.300  4.771  4.771   0.000 -99.999  23.725   0.360 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  198  Tue  2018-07-17    63
2018-199  2018  199  Wed  2018-07-18    3.880 1.310 1.310 0.843 1.360 0.823 1.000 0.177  18.019 0.000 0.000  0.000  44.924 1.310  5.083  66.616 -99.999 -99.999 0.541 0.597  39.749 1.000 1.310  5.083  5.083   0.000 -99.999   5.467   0.082 -99.999 -99.999 -99.999 -99.999   0.000   0.000  23.340   0.000  2018  199  Wed  2018-07-18    64
2018-200  2018  200  Thu  2018-07-19    4.070 1.320 1.320 0.867 1.370 0.826 1.000 0.174  18.019 0.000 0.000  0.000  44.924 1.320  5.372  67.272 -99.999 -99.999 0.547 0.585  39.361 1.000 1.320  5.372  5.372   6.640 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  17.480   0.000  2018  200  Thu  2018-07-19    65
2018-201  2018  201  Fri  2018-07-20    4.070 1.330 1.330 0.890 1.380 0.829 1.000 0.171  18.019 0.000 0.000  0.000  44.924 1.330  5.413  67.928 -99.999 -99.999 0.552 0.583  39.635 1.000 1.330  5.413  5.413   0.000 -99.999   5.413   0.080 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  201  Fri  2018-07-20    66
2018-202  2018  202  Sat  2018-07-21    4.110 1.340 1.340 0.913 1.390 0.831 1.000 0.169  18.019 0.000 0.000  0.000  44.924 1.340  5.507  68.585 -99.999 -99.999 0.557 0.580  39.759 1.000 1.340  5.507  5.507  26.309 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  37.230   0.000  2018  202  Sat  2018-07-21    67
2018-203  2018  203  Sun  2018-07-22    1.980 1.350 1.350 0.937 1.400 0.834 1.000 0.166  18.019 0.000 0.000  0.000  44.924 1.350  2.673  69.241 -99.999 -99.999 0.563 0.693  47.990 1.000 1.350  2.673  2.673  29.027 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  31.700   0.000  2018  203  Sun  2018-07-22    68
2018-204  2018  204  Mon  2018-07-23    4.330 1.360 1.360 0.960 1.410 0.836 1.000 0.164  18.019 0.000 0.000  0.000  44.924 1.360  5.889  69.897 -99.999 -99.999 0.568 0.564  39.453 1.000 1.360  5.889  5.889   0.000 -99.999   5.889   0.084 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  204  Mon  2018-07-23    69
2018-205  2018  205  Tue  2018-07-24    4.240 1.370 1.370 0.983 1.420 0.839 1.000 0.161  18.019 0.000 0.000  0.000  44.924 1.370  5.809  70.554 -99.999 -99.999 0.573 0.568  40.050 1.000 1.370  5.809  5.809   0.000 -99.999  11.698   0.166 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  205  Tue  2018-07-24    70
2018-206  2018  206  Wed  2018-07-25    3.370 1.380 1.380 1.007 1.430 0.841 1.000 0.159  18.019 0.000 0.000  0.000  44.924 1.380  4.651  71.210 -99.999 -99.999 0.579 0.614  43.721 1.000 1.380  4.651  4.651  13.472 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  29.820   0.000  2018  206  Wed  2018-07-25    71
2018-207  2018  207  Thu  2018-07-26    1.200 1.390 1.390 1.030 1.440 0.843 1.000 0.157  18.019 0.000 0.000  0.000  44.924 1.390  1.668  71.866 -99.999 -99.999 0.584 0.733  52.698 1.000 1.390  1.668  1.668  17.512 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  19.180   0.000  2018  207  Thu  2018-07-26    72
2018-208  2018  208  Fri  2018-07-27    1.920 1.400 1.400 1.053 1.450 0.845 1.000 0.155  18.019 0.000 0.000  0.000  44.924 1.400  2.688  72.523 -99.999 -99.999 0.589 0.692  50.220 1.000 1.400  2.688  2.688  33.352 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  36.040   0.000  2018  208  Fri  2018-07-27    73
